Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km
389,2018-08-02 06:15:38,14,28.500,81.100,1001.300,25.15,0,5.023,0.165,0.743,0.015,0.020,0.025,0.026,0.031,0.030,0.034,0.034,0.037,0.038,0.042,0.045,0.047,0.047,0.044,0.039,0.040,0.039,0.038,0.039,0.038,0.037,0.034,0.035,0.030,0.031,0.028,0.028,0.026,0.027,0.024,0.022,0.020,0.020,0.018,0.018,0.017,0.015,0.015,0.014,0.015,0.013,0.011,0.011,0.011,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
390,2018-08-02 06:19:31,11,28.700,80.500,1001.400,25.5,0,4.997,0.158,0.493,28.700,28.317,27.975,27.596,27.228,26.931,26.639,26.357,26.008,25.790,25.451,25.027,24.526,24.134,23.728,23.329,22.847,22.375,21.906,21.549,21.102,20.594,20.049,19.521,19.048,18.349,17.291,16.027,14.763,13.556,12.243,10.999,9.679,8.310,6.923,5.420,3.972,2.620,1.384,0.060,-1.139,-2.375,-3.754,-5.224,-6.617,-8.007,-9.110,-10.268,-11.434,-12.733,-14.208,-15.730,-17.162,-18.515,-20.065,-21.715,-23.494,-25.201
391,2018-08-02 06:19:31,12,28.700,80.500,1001.400,25.5,0,4.997,0.158,0.493,22.925,23.273,23.133,22.841,22.563,22.288,21.982,21.659,21.322,20.990,20.533,19.875,19.075,18.324,17.692,17.155,16.609,16.027,15.422,14.853,14.346,13.873,13.350,12.772,12.300,11.654,10.759,9.642,8.603,7.579,6.639,5.839,5.121,4.497,3.975,3.555,3.215,2.926,2.654,2.390,2.142,1.925,1.747,1.598,1.462,1.324,1.176,1.023,0.874,0.736,0.613,0.501,0.404,0.322,0.253,0.197,0.153,0.119
392,2018-08-02 06:19:31,13,28.700,80.500,1001.400,25.5,0,4.997,0.158,0.493,80.498,83.449,84.519,85.209,85.897,86.254,86.460,86.536,86.859,86.554,86.290,85.536,84.444,82.934,81.938,81.276,80.881,80.187,79.269,77.932,77.247,76.935,76.429,75.417,74.681,73.742,72.504,70.108,67.541,64.075,60.882,57.884,55.193,52.904,51.161,50.492,50.275,50.098,49.428,48.736,47.476,46.544,46.582,47.362,47.961,48.121,46.389,44.049,41.096,38.265,35.728,32.968,29.798,26.490,23.637,21.133,19.123,17.155
393,2018-08-02 06:19:31,14,28.700,80.500,1001.400,25.5,0,4.997,0.158,0.493,0.012,0.017,0.021,0.022,0.026,0.026,0.029,0.030,0.033,0.034,0.037,0.040,0.042,0.042,0.040,0.035,0.036,0.036,0.035,0.036,0.035,0.033,0.031,0.031,0.027,0.028,0.025,0.025,0.023,0.024,0.022,0.020,0.018,0.019,0.017,0.017,0.016,0.015,0.015,0.014,0.014,0.012,0.011,0.011,0.011,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
394,2018-08-02 06:23:24,11,28.800,80.700,1001.400,18,0,4.965,0.146,1.912,28.800,28.482,28.151,27.791,27.465,27.168,26.889,26.601,26.290,26.053,25.712,25.237,24.693,24.215,23.742,23.239,22.664,22.081,21.496,21.001,20.443,19.882,19.260,18.643,18.094,17.313,16.123,14.724,13.478,12.263,10.986,9.689,8.354,6.957,5.614,4.164,2.774,1.423,0.147,-1.186,-2.415,-3.647,-5.001,-6.498,-7.966,-9.400,-10.544,-11.776,-12.993,-14.305,-15.714,-17.220,-18.671,-20.109,-21.632,-23.214,-24.860,-26.607
395,2018-08-02 06:23:24,12,28.800,80.700,1001.400,18,0,4.965,0.146,1.912,23.109,23.464,23.326,23.032,22.752,22.476,22.170,21.843,21.502,21.167,20.709,20.046,19.235,18.465,17.817,17.272,16.718,16.124,15.504,14.920,14.407,13.929,13.394,12.798,12.311,11.643,10.721,9.565,8.490,7.433,6.478,5.673,4.955,4.336,3.821,3.411,3.084,2.807,2.549,2.296,2.060,1.852,1.682,1.542,1.415,1.285,1.144,0.998,0.854,0.721,0.601,0.492,0.397,0.316,0.249,0.194,0.150,0.117
396,2018-08-02 06:23:24,13,28.800,80.700,1001.400,18,0,4.965,0.146,1.912,80.701,83.378,84.402,85.005,85.492,85.849,85.999,86.096,86.227,86.012,85.768,85.261,84.351,83.192,82.454,82.250,82.269,82.048,81.601,80.811,80.604,80.524,80.313,79.584,79.090,78.360,77.500,75.275,72.117,68.084,64.278,61.106,58.135,55.683,53.582,52.654,52.263,52.128,51.679,51.072,49.937,49.009,49.050,50.144,51.277,51.789,50.291,48.172,45.297,42.392,39.471,36.499,33.115,29.655,26.530,23.645,21.100,19.087
397,2018-08-02 06:23:24,14,28.800,80.700,1001.400,18,0,4.965,0.146,1.912,0.012,0.017,0.020,0.022,0.026,0.025,0.029,0.028,0.032,0.032,0.036,0.038,0.040,0.040,0.037,0.033,0.033,0.033,0.032,0.033,0.032,0.031,0.028,0.029,0.024,0.026,0.023,0.023,0.021,0.022,0.020,0.018,0.016,0.017,0.016,0.015,0.015,0.013,0.013,0.013,0.013,0.012,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
398,2018-08-02 06:27:17,11,28.900,79.700,1001.300,-2.71,0,4.894,0.148,5.982,28.900,28.730,28.483,28.178,27.899,27.662,27.426,27.187,26.931,26.756,26.489,26.136,25.705,25.330,24.961,24.564,24.086,23.621,23.165,22.740,22.231,21.699,21.124,20.554,20.021,19.216,17.989,16.575,15.228,13.871,12.407,11.001,9.564,8.096,6.672,5.150,3.662,2.265,1.012,-0.300,-1.529,-2.801,-4.173,-5.689,-7.157,-8.590,-9.698,-10.966,-12.242,-13.555,-15.022,-16.598,-18.155,-19.662,-21.357,-23.045,-24.795,-26.615
399,2018-08-02 06:27:17,12,28.900,79.700,1001.300,-2.71,0,4.894,0.148,5.982,22.947,23.294,23.153,22.859,22.580,22.306,22.005,21.680,21.334,20.999,20.545,19.882,19.061,18.280,17.625,17.073,16.511,15.908,15.289,14.706,14.199,13.724,13.193,12.603,12.125,11.471,10.559,9.411,8.342,7.301,6.361,5.564,4.853,4.239,3.730,3.324,3.002,2.727,2.472,2.225,1.993,1.793,1.629,1.494,1.372,1.247,1.110,0.970,0.832,0.704,0.587,0.482,0.390,0.310,0.245,0.191,0.148,0.115
400,2018-08-02 06:27:17,13,28.900,79.700,1001.300,-2.71,0,4.894,0.148,5.982,79.700,81.658,82.268,82.593,82.843,82.913,82.862,82.723,82.565,82.060,81.483,80.417,78.975,77.347,76.136,75.416,74.933,74.126,73.115,72.056,71.630,71.391,70.946,70.056,69.531,68.962,68.259,66.203,63.659,60.537,57.738,55.151,52.690,50.563,48.802,48.064,47.917,47.833,47.215,46.527,45.410,44.673,44.754,45.798,46.835,47.303,45.778,44.020,41.659,39.004,36.529,33.989,31.171,28.018,25.495,22.936,20.695,18.766
401,2018-08-02 06:27:17,14,28.900,79.700,1001.300,-2.71,0,4.894,0.148,5.982,0.010,0.014,0.017,0.019,0.022,0.022,0.025,0.026,0.029,0.030,0.033,0.036,0.038,0.039,0.036,0.032,0.032,0.032,0.031,0.033,0.032,0.030,0.028,0.029,0.025,0.026,0.023,0.023,0.021,0.022,0.020,0.019,0.017,0.018,0.016,0.016,0.016,0.014,0.014,0.014,0.014,0.012,0.011,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
402,2018-08-02 06:31:10,11,28.900,79.100,1001.300,-3.63,0,4.881,0.144,6.066,28.900,28.559,28.223,27.853,27.511,27.212,26.934,26.647,26.327,26.087,25.744,25.287,24.761,24.317,23.861,23.383,22.820,22.274,21.727,21.266,20.745,20.193,19.600,19.012,18.496,17.734,16.592,15.244,13.971,12.751,11.466,10.201,8.859,7.465,6.093,4.628,3.214,1.859,0.584,-0.759,-2.010,-3.269,-4.630,-6.102,-7.553,-8.979,-10.120,-11.324,-12.530,-13.828,-15.258,-16.776,-18.225,-19.635,-21.164,-22.776,-24.469,-26.202
403,2018-08-02 06:31:10,12,28.900,79.100,1001.300,-3.63,0,4.881,0.144,6.066,22.774,23.115,22.974,22.682,22.403,22.132,21.833,21.511,21.168,20.837,20.387,19.727,18.912,18.135,17.485,16.932,16.370,15.772,15.162,14.586,14.083,13.611,13.088,12.510,12.043,11.403,10.505,9.376,8.326,7.305,6.376,5.584,4.876,4.264,3.754,3.345,3.017,2.740,2.480,2.230,1.998,1.795,1.631,1.495,1.372,1.245,1.108,0.968,0.829,0.702,0.585,0.481,0.389,0.310,0.244,0.191,0.148,0.115
404,2018-08-02 06:31:10,13,28.900,79.100,1001.300,-3.63,0,4.881,0.144,6.066,79.100,81.794,82.802,83.426,83.968,84.331,84.483,84.569,84.715,84.513,84.285,83.671,82.619,81.236,80.373,79.972,79.844,79.369,78.741,77.796,77.421,77.270,76.923,76.113,75.543,74.838,73.821,71.485,68.610,64.906,61.382,58.219,55.380,52.978,51.010,50.065,49.634,49.394,48.788,48.150,47.072,46.242,46.313,47.235,48.195,48.627,47.181,45.151,42.445,39.734,37.093,34.409,31.269,27.955,24.979,22.413,20.115,18.091
405,2018-08-02 06:31:10,14,28.900,79.100,1001.300,-3.63,0,4.881,0.144,6.066,0.009,0.013,0.015,0.017,0.020,0.020,0.023,0.023,0.026,0.027,0.030,0.034,0.036,0.036,0.034,0.030,0.031,0.030,0.030,0.031,0.030,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.020,0.021,0.019,0.019,0.017,0.018,0.016,0.016,0.016,0.014,0.014,0.014,0.014,0.012,0.011,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
406,2018-08-02 06:35:03,11,28.800,79.100,1001.300,-2.82,0,4.892,0.145,5.862,28.800,28.495,28.174,27.819,27.497,27.208,26.939,26.658,26.358,26.126,25.795,25.343,24.822,24.372,23.919,23.434,22.867,22.312,21.761,21.280,20.736,20.176,19.568,18.964,18.428,17.642,16.456,15.075,13.801,12.563,11.258,9.960,8.602,7.192,5.831,4.373,2.959,1.597,0.320,-1.009,-2.257,-3.517,-4.876,-6.360,-7.829,-9.261,-10.402,-11.634,-12.864,-14.164,-15.587,-17.111,-18.584,-20.024,-21.574,-23.183,-24.856,-26.606
407,2018-08-02 06:35:03,12,28.800,79.100,1001.300,-2.82,0,4.892,0.145,5.862,22.650,22.987,22.846,22.555,22.279,22.006,21.708,21.388,21.050,20.721,20.273,19.617,18.808,18.042,17.399,16.847,16.289,15.694,15.090,14.521,14.020,13.551,13.031,12.460,12.000,11.366,10.476,9.359,8.320,7.311,6.388,5.600,4.896,4.284,3.774,3.364,3.035,2.755,2.494,2.244,2.009,1.806,1.640,1.502,1.377,1.248,1.112,0.969,0.832,0.703,0.587,0.482,0.389,0.310,0.245,0.191,0.148,0.115
408,2018-08-02 06:35:03,13,28.800,79.100,1001.300,-2.82,0,4.892,0.145,5.862,79.098,81.625,82.564,83.116,83.566,83.872,83.974,84.036,84.095,83.857,83.573,82.941,81.884,80.566,79.712,79.342,79.233,78.807,78.217,77.384,77.113,77.005,76.736,76.029,75.576,75.005,74.222,72.094,69.283,65.725,62.310,59.290,56.525,54.185,52.178,51.216,50.801,50.565,49.970,49.288,48.169,47.335,47.379,48.334,49.376,49.792,48.338,46.290,43.670,40.859,38.147,35.430,32.205,28.875,25.967,23.210,20.806,18.751
409,2018-08-02 06:35:03,14,28.800,79.100,1001.300,-2.82,0,4.892,0.145,5.862,0.009,0.013,0.015,0.017,0.020,0.020,0.023,0.023,0.026,0.027,0.031,0.034,0.036,0.037,0.034,0.030,0.031,0.030,0.030,0.032,0.030,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.020,0.021,0.020,0.019,0.017,0.018,0.016,0.016,0.016,0.014,0.014,0.014,0.014,0.012,0.011,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
410,2018-08-02 06:38:56,11,28.900,78.500,1001.400,-3.6,0,4.869,0.145,6.052,28.900,28.620,28.313,27.969,27.649,27.368,27.103,26.830,26.535,26.309,25.990,25.563,25.064,24.631,24.198,23.734,23.189,22.653,22.127,21.663,21.131,20.578,19.982,19.392,18.864,18.076,16.887,15.498,14.207,12.937,11.593,10.269,8.899,7.474,6.087,4.608,3.178,1.803,0.524,-0.803,-2.050,-3.316,-4.680,-6.167,-7.633,-9.068,-10.204,-11.440,-12.677,-13.992,-15.434,-16.967,-18.447,-19.905,-21.498,-23.137,-24.837,-26.608
411,2018-08-02 06:38:56,12,28.900,78.500,1001.400,-3.6,0,4.869,0.145,6.052,22.601,22.934,22.791,22.499,22.223,21.953,21.656,21.335,20.994,20.665,20.218,19.559,18.744,17.969,17.321,16.766,16.204,15.605,15.001,14.433,13.936,13.468,12.952,12.385,11.931,11.306,10.424,9.315,8.283,7.283,6.368,5.583,4.880,4.269,3.759,3.349,3.018,2.737,2.475,2.223,1.990,1.788,1.623,1.487,1.364,1.237,1.100,0.961,0.824,0.697,0.582,0.478,0.387,0.308,0.243,0.190,0.147,0.114
412,2018-08-02 06:38:56,13,28.900,78.500,1001.400,-3.6,0,4.869,0.145,6.052,78.500,80.884,81.738,82.230,82.662,82.931,83.017,83.033,83.051,82.784,82.444,81.683,80.503,79.076,78.111,77.624,77.383,76.842,76.132,75.234,74.911,74.763,74.441,73.688,73.227,72.706,71.965,69.934,67.277,63.973,60.817,57.958,55.283,53.010,51.099,50.192,49.772,49.528,48.891,48.145,47.014,46.214,46.250,47.204,48.196,48.635,47.136,45.222,42.671,39.960,37.422,34.723,31.677,28.402,25.586,22.995,20.628,18.587
413,2018-08-02 06:38:56,14,28.900,78.500,1001.400,-3.6,0,4.869,0.145,6.052,0.008,0.012,0.014,0.016,0.019,0.019,0.022,0.022,0.025,0.026,0.029,0.033,0.035,0.036,0.033,0.030,0.030,0.030,0.029,0.031,0.030,0.029,0.027,0.027,0.023,0.025,0.022,0.022,0.020,0.021,0.020,0.019,0.017,0.018,0.016,0.017,0.016,0.015,0.015,0.014,0.014,0.012,0.011,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
414,2018-08-02 06:42:49,11,29.000,77.700,1001.300,-3.49,0,4.876,0.151,6.071,29.000,28.621,28.268,27.886,27.521,27.208,26.918,26.624,26.285,26.029,25.673,25.210,24.678,24.233,23.775,23.301,22.741,22.195,21.655,21.212,20.705,20.157,19.575,19.003,18.508,17.762,16.651,15.331,14.069,12.860,11.588,10.347,9.025,7.640,6.258,4.787,3.377,2.023,0.745,-0.596,-1.845,-3.101,-4.463,-5.917,-7.354,-8.768,-9.904,-11.082,-12.270,-13.573,-15.015,-16.518,-17.938,-19.329,-20.860,-22.484,-24.197,-25.919
415,2018-08-02 06:42:49,12,29.000,77.700,1001.300,-3.49,0,4.876,0.151,6.071,22.494,22.827,22.683,22.392,22.119,21.851,21.557,21.241,20.902,20.576,20.134,19.482,18.673,17.906,17.268,16.717,16.160,15.566,14.974,14.414,13.925,13.459,12.950,12.393,11.946,11.334,10.465,9.376,8.362,7.377,6.469,5.683,4.978,4.361,3.845,3.427,3.089,2.799,2.529,2.270,2.030,1.824,1.654,1.516,1.389,1.259,1.119,0.976,0.835,0.706,0.588,0.483,0.390,0.311,0.245,0.192,0.149,0.115
416,2018-08-02 06:42:49,13,29.000,77.700,1001.300,-3.49,0,4.876,0.151,6.071,77.701,80.500,81.554,82.212,82.857,83.278,83.488,83.614,83.846,83.724,83.570,82.990,81.957,80.592,79.760,79.326,79.173,78.690,78.090,77.120,76.726,76.570,76.225,75.443,74.884,74.265,73.284,71.107,68.494,65.107,61.798,58.712,55.936,53.580,51.679,50.762,50.258,49.906,49.212,48.446,47.280,46.411,46.410,47.231,48.085,48.407,46.881,44.692,41.903,39.172,36.572,33.842,30.623,27.344,24.449,21.977,19.780,17.644
417,2018-08-02 06:42:49,14,29.000,77.700,1001.300,-3.49,0,4.876,0.151,6.071,0.008,0.011,0.013,0.015,0.018,0.018,0.021,0.021,0.024,0.025,0.028,0.032,0.035,0.035,0.033,0.030,0.030,0.030,0.029,0.031,0.030,0.029,0.027,0.027,0.024,0.025,0.022,0.023,0.021,0.022,0.020,0.019,0.018,0.019,0.017,0.017,0.017,0.015,0.015,0.015,0.015,0.013,0.011,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
418,2018-08-02 06:46:42,11,29.100,78.000,1001.400,-4.04,0,4.900,0.132,6.142,29.100,28.775,28.443,28.077,27.734,27.433,27.157,26.871,26.553,26.307,25.967,25.515,24.993,24.546,24.083,23.599,23.030,22.475,21.923,21.451,20.923,20.366,19.771,19.178,18.657,17.883,16.730,15.365,14.080,12.844,11.551,10.271,8.915,7.511,6.132,4.663,3.246,1.887,0.600,-0.749,-2.010,-3.269,-4.628,-6.087,-7.545,-8.967,-10.115,-11.313,-12.524,-13.820,-15.248,-16.763,-18.214,-19.637,-21.171,-22.784,-24.470,-26.213
419,2018-08-02 06:46:42,12,29.100,78.000,1001.400,-4.04,0,4.900,0.132,6.142,22.703,23.043,22.900,22.608,22.331,22.062,21.767,21.446,21.102,20.772,20.326,19.666,18.843,18.058,17.403,16.844,16.278,15.675,15.068,14.495,13.997,13.526,13.006,12.433,11.973,11.342,10.451,9.331,8.284,7.274,6.353,5.565,4.857,4.243,3.732,3.322,2.993,2.713,2.454,2.203,1.972,1.771,1.609,1.475,1.354,1.231,1.096,0.958,0.821,0.695,0.580,0.477,0.385,0.307,0.242,0.190,0.147,0.112
420,2018-08-02 06:46:42,13,29.100,78.000,1001.400,-4.04,0,4.900,0.132,6.142,77.999,80.583,81.547,82.137,82.677,83.046,83.191,83.273,83.397,83.224,82.993,82.354,81.250,79.852,78.996,78.584,78.449,77.977,77.374,76.487,76.152,76.017,75.679,74.910,74.393,73.783,72.838,70.617,67.813,64.264,60.833,57.762,54.964,52.558,50.578,49.601,49.130,48.827,48.218,47.527,46.453,45.617,45.674,46.545,47.562,48.029,46.646,44.640,42.010,39.307,36.742,34.082,30.914,27.684,24.784,22.309,19.978,17.785
421,2018-08-02 06:46:42,14,29.100,78.000,1001.400,-4.04,0,4.900,0.132,6.142,0.007,0.011,0.013,0.015,0.018,0.018,0.020,0.021,0.023,0.024,0.027,0.031,0.033,0.034,0.031,0.028,0.028,0.028,0.028,0.029,0.028,0.027,0.025,0.025,0.022,0.023,0.020,0.021,0.019,0.020,0.019,0.018,0.016,0.017,0.016,0.016,0.016,0.014,0.014,0.014,0.014,0.012,0.011,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
422,2018-08-02 06:50:35,11,29.100,77.100,1001.400,-2.01,0,4.929,0.134,5.830,29.100,28.767,28.441,28.076,27.724,27.430,27.154,26.874,26.550,26.313,25.979,25.559,25.063,24.647,24.215,23.769,23.234,22.722,22.221,21.797,21.303,20.760,20.192,19.637,19.144,18.387,17.263,15.936,14.639,13.383,12.047,10.766,9.409,8.005,6.594,5.094,3.647,2.276,1.003,-0.342,-1.600,-2.876,-4.244,-5.704,-7.140,-8.561,-9.692,-10.885,-12.095,-13.402,-14.864,-16.390,-17.847,-19.261,-20.842,-22.501,-24.251,-25.993
423,2018-08-02 06:50:35,12,29.100,77.100,1001.400,-2.01,0,4.929,0.134,5.830,22.441,22.780,22.638,22.347,22.077,21.810,21.519,21.206,20.872,20.552,20.114,19.467,18.667,17.910,17.276,16.728,16.175,15.590,15.005,14.452,13.965,13.501,12.994,12.444,12.000,11.392,10.529,9.450,8.443,7.466,6.558,5.773,5.063,4.441,3.917,3.493,3.148,2.852,2.577,2.312,2.067,1.855,1.683,1.540,1.411,1.279,1.138,0.990,0.848,0.715,0.596,0.488,0.394,0.314,0.247,0.194,0.150,0.116
424,2018-08-02 06:50:35,13,29.100,77.100,1001.400,-2.01,0,4.929,0.134,5.830,77.098,79.698,80.622,81.197,81.781,82.110,82.260,82.327,82.501,82.314,82.073,81.319,80.175,78.748,77.836,77.293,77.050,76.464,75.741,74.752,74.322,74.156,73.770,72.981,72.449,71.925,71.070,69.091,66.790,63.793,60.876,58.074,55.514,53.281,51.506,50.688,50.304,49.991,49.252,48.485,47.327,46.458,46.465,47.247,48.088,48.429,46.886,44.663,41.941,39.150,36.572,33.847,30.713,27.458,24.616,22.244,20.009,17.918
425,2018-08-02 06:50:35,14,29.100,77.100,1001.400,-2.01,0,4.929,0.134,5.830,0.007,0.010,0.012,0.013,0.016,0.016,0.019,0.019,0.022,0.023,0.025,0.029,0.031,0.032,0.030,0.026,0.027,0.026,0.026,0.028,0.027,0.026,0.024,0.024,0.021,0.022,0.020,0.020,0.018,0.019,0.018,0.017,0.016,0.017,0.016,0.016,0.016,0.014,0.014,0.014,0.014,0.012,0.011,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
426,2018-08-02 06:54:28,11,29.400,77.000,1001.400,22.81,0,4.905,0.149,0.880,29.400,28.797,28.339,27.874,27.401,27.016,26.669,26.317,25.855,25.514,25.037,24.457,23.799,23.278,22.693,22.135,21.470,20.833,20.188,19.746,19.251,18.695,18.100,17.538,17.086,16.429,15.464,14.270,13.103,12.067,10.982,9.898,8.693,7.398,6.072,4.634,3.267,1.946,0.670,-0.719,-1.985,-3.236,-4.613,-6.035,-7.415,-8.805,-9.965,-11.048,-12.141,-13.424,-14.853,-16.284,-17.579,-18.799,-20.118,-21.662,-23.370,-24.936
427,2018-08-02 06:54:28,12,29.400,77.000,1001.400,22.81,0,4.905,0.149,0.880,22.781,23.132,22.989,22.696,22.422,22.155,21.864,21.545,21.200,20.871,20.428,19.772,18.949,18.164,17.514,16.960,16.400,15.798,15.196,14.629,14.135,13.666,13.146,12.576,12.118,11.489,10.605,9.493,8.452,7.441,6.514,5.717,4.998,4.373,3.849,3.428,3.090,2.800,2.530,2.270,2.028,1.822,1.655,1.519,1.395,1.268,1.130,0.985,0.843,0.712,0.592,0.486,0.392,0.312,0.247,0.193,0.150,0.114
428,2018-08-02 06:54:28,13,29.400,77.000,1001.400,22.81,0,4.905,0.149,0.880,76.999,80.795,82.330,83.381,84.549,85.338,85.854,86.271,87.102,87.403,87.869,87.869,87.406,86.307,86.043,86.035,86.445,86.401,86.292,85.249,84.802,84.720,84.423,83.510,82.667,81.534,79.778,76.807,73.480,68.989,64.645,60.767,57.374,54.569,52.371,51.283,50.649,50.187,49.487,48.864,47.702,46.809,46.916,47.736,48.514,48.894,47.525,44.993,41.889,39.051,36.353,33.419,29.894,26.258,23.167,20.602,18.541,16.183
429,2018-08-02 06:54:28,14,29.400,77.000,1001.400,22.81,0,4.905,0.149,0.880,0.007,0.010,0.013,0.014,0.017,0.017,0.020,0.020,0.023,0.024,0.027,0.031,0.034,0.034,0.032,0.029,0.029,0.029,0.029,0.031,0.030,0.029,0.026,0.027,0.023,0.025,0.022,0.022,0.021,0.022,0.020,0.019,0.018,0.019,0.017,0.018,0.017,0.016,0.016,0.015,0.015,0.013,0.011,0.011,0.011,0.010,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
430,2018-08-02 06:58:21,11,29.200,76.700,1001.300,0.46,0,4.890,0.145,5.332,29.200,28.911,28.605,28.255,27.921,27.642,27.379,27.109,26.804,26.577,26.255,25.850,25.365,24.951,24.520,24.070,23.527,23.013,22.510,22.066,21.552,21.001,20.423,19.855,19.341,18.556,17.393,16.032,14.712,13.426,12.058,10.742,9.354,7.927,6.512,5.010,3.549,2.171,0.901,-0.448,-1.720,-3.006,-4.373,-5.847,-7.300,-8.726,-9.856,-11.071,-12.309,-13.607,-15.060,-16.598,-18.088,-19.528,-21.126,-22.785,-24.524,-26.275
431,2018-08-02 06:58:21,12,29.200,76.700,1001.300,0.46,0,4.890,0.145,5.332,22.447,22.786,22.643,22.352,22.083,21.816,21.528,21.214,20.879,20.557,20.121,19.474,18.669,17.907,17.272,16.723,16.170,15.581,14.996,14.444,13.959,13.495,12.987,12.435,11.992,11.384,10.521,9.441,8.432,7.453,6.545,5.761,5.050,4.427,3.904,3.480,3.136,2.840,2.565,2.301,2.056,1.846,1.675,1.534,1.406,1.275,1.135,0.989,0.847,0.714,0.595,0.487,0.393,0.313,0.247,0.194,0.150,0.115
432,2018-08-02 06:58:21,13,29.200,76.700,1001.300,0.46,0,4.890,0.145,5.332,76.700,79.094,79.922,80.420,80.920,81.180,81.276,81.296,81.372,81.132,80.846,80.033,78.837,77.395,76.485,75.964,75.749,75.160,74.451,73.564,73.230,73.089,72.746,72.005,71.564,71.156,70.471,68.624,66.404,63.512,60.722,58.041,55.566,53.381,51.610,50.780,50.442,50.136,49.366,48.610,47.472,46.660,46.673,47.555,48.487,48.876,47.345,45.258,42.591,39.728,37.083,34.348,31.244,27.981,25.211,22.790,20.490,18.208
433,2018-08-02 06:58:21,14,29.200,76.700,1001.300,0.46,0,4.890,0.145,5.332,0.007,0.010,0.012,0.014,0.016,0.016,0.019,0.019,0.022,0.023,0.026,0.030,0.032,0.033,0.031,0.028,0.028,0.028,0.028,0.030,0.029,0.027,0.025,0.026,0.022,0.024,0.021,0.021,0.020,0.021,0.019,0.019,0.017,0.018,0.017,0.017,0.017,0.015,0.015,0.015,0.015,0.013,0.011,0.011,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
434,2018-08-02 07:02:14,11,29.100,77.900,1001.600,0.9,0,4.924,0.138,5.245,29.100,28.766,28.437,28.072,27.716,27.420,27.137,26.855,26.523,26.285,25.944,25.515,25.007,24.580,24.137,23.682,23.145,22.617,22.101,21.670,21.167,20.623,20.049,19.487,18.985,18.229,17.097,15.758,14.478,13.231,11.899,10.608,9.260,7.859,6.460,4.963,3.523,2.150,0.876,-0.466,-1.709,-2.973,-4.345,-5.818,-7.258,-8.679,-9.810,-11.006,-12.214,-13.530,-14.992,-16.510,-17.962,-19.378,-20.950,-22.597,-24.340,-26.076
435,2018-08-02 07:02:14,12,29.100,77.900,1001.600,0.9,0,4.924,0.138,5.245,22.674,23.022,22.882,22.592,22.319,22.052,21.761,21.444,21.104,20.779,20.338,19.688,18.880,18.112,17.470,16.922,16.369,15.777,15.177,14.612,14.117,13.649,13.131,12.561,12.101,11.470,10.586,9.476,8.438,7.427,6.500,5.707,4.993,4.370,3.850,3.432,3.097,2.810,2.543,2.285,2.045,1.837,1.669,1.530,1.405,1.275,1.136,0.990,0.848,0.715,0.596,0.488,0.394,0.314,0.247,0.194,0.150,0.116
